Question,Question ID
Print sources for understanding this subject:,4651
Online sources for understanding this subject:,4652
Relevant online primary textual corpora (original languages and/or translations):,4653
Are other religious groups in cultural contact with target religion:,4654
Is the cultural contact competitive:,4655
Is the cultural contact accommodating/pluralistic:,4656
Is the cultural contact neutral:,4657
Is there violent conflict (within sample region):,4658
Is there violent conflict (with groups outside the sample region):,4659
Does the religious group have a general process/system for assigning religious affiliation:,4660
Assigned at birth (membership is default for this society):,4661
Assigned by personal choice:,4662
Assigned by class:,4663
Assigned at a specific age:,4664
Assigned by gender:,4665
Assigned by participation in a particular ritual:,4666
Assigned by some other factor:,4667
Does the religious group actively proselytize and recruit new members:,4668
Is proselytizing mandated for religious professionals:,4669
Is proselytizing mandated for all adherents:,4670
Is missionary work mandated for religious professionals:,4671
Is missionary work mandated for all adherents:,4672
Is proselytization coercive:,4673
Does the coercion take the form of physical force:,4674
Does the coercion take the form of economic sanctions:,4675
Does the religion have official political support,4676
Are the priests paid by polity:,4677
Is religious infrastructure paid for by the polity:,4678
Are the head of the polity and the head of the religion the same figure:,4679
Are political officials equivalent to religious officials:,4680
Is religious observance enforced by the polity:,4681
Polity legal code is roughly coterminous with religious code:,4682
"Polity provides preferential economic treatment (e.g. tax, exemption)",4683
Is there a conception of apostasy in the religious group:,4684
Are apostates prosecuted or punished:,4685
Apostates are socially shunned and/or publicly vilified:,4686
"Wealth, civil rights, and/or social capital are taken by authorities:",4687
Do apostates receive corporal punishment:,4688
"Apostates are physically marked as such (e.g. branding, mutilation):",4689
Apostates are executed:,4690
Apostates are publicly executed:,4691
Other corporal punishment:,4692
Do apostates receive divine punishment:,4693
Punished in the afterlife:,4694
"Cursed by ""high god"":",4695
Cursed by other supernatural being(s):,4696
Other divine punishment:,4697
"Number of adherents of religious group within sample region (estimated population, numerical):",4699
"Number of adherents of religious group within sample region (% of sample region population, numerical):",4700
Nature of religious group [please select one]:,4698
Are there recognized leaders in the religious group:,4701
Is there a hierarchy among these leaders:,4702
A single leader of a local community:,4703
"Multiple religious communities each with its own leader, no hierarchy among these leaders:",4704
"""Regional"" leaders who oversee one or more local leader(s) (e.g. bishops):",4705
A single leader for the religious group that oversees all other leaders in the sample region:,4706
