Question ID,Related question ID
3102,5123
3120,5121
3351,5089
3028,5077
5224,3157
4795,2981
4788,2864
5025,3452
5188,3169
5017,3472
2987,5072
4950,2845
2981,4795
4827,2893
5016,3469
4985,3477
5186,3177
5194,3178
3000,5060
2855,4798
3016,5046
3014,5056
2996,5047
3005,5048
3435,5033
4850,3237
3452,5025
3469,5016
3472,5017
3446,5003
3427,4996
3483,4990
3480,4984
3477,4985
2890,4954
2952,4965
2973,4957
2928,4955
2893,4827
2234,4685
2971,4898
3341,4901
2845,4950
3271,4942
3291,4934
4689,2248
4730,2253
4781,2914
4809,2951
4955,2928
4698,2361
4763,2246
4753,2279
4710,2353
4923,3244
4920,3209
4859,3301
4942,3271
4839,3263
4685,2234
5153,3101
4901,3341
2859,4912
2857,4810
5089,3351
4934,3291
2310,4694
4822,2961
4815,2851
5144,3105
2330,4651
5046,3016
4661,3084
5081,3019
5003,3446
4996,3427
5229,3150
5220,3166
4965,2952
4867,2854
5048,3005
3209,4920
2951,4809
3244,4923
5121,3120
2257,4717
5077,3028
5171,3072
5033,3435
4810,2857
4912,2859
5162,3029
4957,2973
4898,2971
5133,3103
4669,2232
4686,2235
5155,3090
4777,2908
5123,3102
2851,4815
2881,4817
2961,4822
2941,4829
2235,4686
3263,4839
3237,4850
2273,4725
4733,2287
3301,4859
2253,4730
2919,4828
2854,4867
3180,4870
2287,4733
2853,4881
2361,4698
2248,4689
2291,4741
4890,2886
2347,4729
2276,4746
2292,4703
2265,4745
2279,4753
2864,4788
3084,4661
2232,4669
2272,4674
4782,2975
4761,2268
4817,2881
5185,3172
3150,5229
2368,4702
3157,5224
3166,5220
3126,5221
2268,4761
4767,2357
3176,5201
2246,4763
2326,4765
2357,4767
2353,4710
5182,3161
3029,5162
4677,2323
4741,2291
4746,2276
4725,2273
3103,5133
2323,4677
4776,2868
4765,2326
5214,3149
4870,3180
5201,3176
5215,3155
4717,2257
5207,3125
5072,2987
5047,2996
5079,3018
3019,5081
3018,5079
2908,4777
4729,2347
4651,2330
5060,3000
4798,2855
5226,3145
4881,2853
4828,2919
3145,5226
4674,2272
4703,2292
4702,2368
5174,3492
